#      t/s        x/m       fs/N     v/(m/s)  a/(m/s/s)       p/N
   +0.0000         +0         +0         +0         +0    +0.0000
   +0.0100  +2.07e-13  +1.65e-06  +6.21e-11 +1.242e-08    +0.0004
   +0.0200 +2.893e-12 +2.306e-05 +6.196e-10 +9.907e-08    +0.0035
   +0.0300 +1.793e-11  +0.000143 +2.778e-09 +3.325e-07    +0.0118
   +0.0400 +6.982e-11 +0.0005566  +8.35e-09  +7.82e-07    +0.0279
   +0.0500 +2.046e-10  +0.001631 +1.982e-08 +1.512e-06    +0.0545
   +0.0600 +4.962e-10  +0.003955 +4.028e-08  +2.58e-06    +0.0942
   +0.0700 +1.052e-09  +0.008388 +7.336e-08 +4.036e-06    +0.1497
   +0.0800 +2.019e-09   +0.01609 +1.232e-07 +5.923e-06    +0.2234
   +0.0900 +3.586e-09   +0.02858 +1.941e-07 +8.271e-06    +0.3181
   +0.1000 +5.988e-09   +0.04773  +2.91e-07  +1.11e-05    +0.4363
   +0.1100 +9.508e-09   +0.07579 +4.186e-07 +1.442e-05    +0.5807
   +0.1200 +1.448e-08    +0.1154 +5.819e-07 +1.824e-05    +0.7538
   +0.1300 +2.128e-08    +0.1696 +7.858e-07 +2.253e-05    +0.9583
   +0.1400 +3.035e-08    +0.2419 +1.035e-06 +2.728e-05    +1.1968
   +0.1500 +4.214e-08     +0.336 +1.334e-06 +3.245e-05    +1.4718
   +0.1600 +5.719e-08    +0.4559 +1.686e-06   +3.8e-05    +1.7859
   +0.1700 +7.605e-08    +0.6062 +2.095e-06 +4.387e-05    +2.1417
   +0.1800  +9.93e-08    +0.7916 +2.564e-06     +5e-05    +2.5416
   +0.1900 +1.275e-07     +1.017 +3.096e-06 +5.633e-05    +2.9884
   +0.2000 +1.614e-07     +1.287 +3.692e-06 +6.278e-05    +3.4843
   +0.2100 +2.016e-07     +1.607 +4.352e-06 +6.928e-05    +4.0319
   +0.2200 +2.487e-07     +1.982 +5.077e-06 +7.575e-05    +4.6336
   +0.2300 +3.034e-07     +2.418 +5.866e-06  +8.21e-05    +5.2919
   +0.2400 +3.662e-07     +2.919 +6.718e-06 +8.827e-05    +6.0090
   +0.2500 +4.379e-07     +3.491 +7.631e-06 +9.418e-05    +6.7873
   +0.2600  +5.19e-07     +4.138   +8.6e-06 +9.976e-05    +7.6290
   +0.2700 +6.101e-07     +4.864 +9.624e-06 +0.0001049    +8.5363
   +0.2800 +7.117e-07     +5.673  +1.07e-05 +0.0001097    +9.5113
   +0.2900 +8.242e-07      +6.57 +1.181e-05 +0.0001139   +10.5559
